timec,bnds,lon,lat,timec_bnds,pr_corr
2060-12-31 23:30:00,0,55.15,-20.869999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.84,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.81,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.779999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.75,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.72,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.689999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.66,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.47,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.439999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.41,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.38,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.349999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.32,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.29,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.259999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.23,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.2,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.169999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-21.14,2040-01-01 23:30:00,439.61905
2060-12-31 23:30:00,0,55.18,-21.11,2040-01-01 23:30:00,442.14285
2060-12-31 23:30:00,0,55.18,-21.08,2040-01-01 23:30:00,492.85715
2060-12-31 23:30:00,0,55.18,-21.049999999999997,2040-01-01 23:30:00,448.4762
2060-12-31 23:30:00,0,55.18,-21.02,2040-01-01 23:30:00,481.4762
2060-12-31 23:30:00,0,55.18,-20.99,2040-01-01 23:30:00,463.85715
2060-12-31 23:30:00,0,55.18,-20.959999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.93,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.9,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.869999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.84,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.81,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.779999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.75,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.72,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.689999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.18,-20.66,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.47,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.439999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.41,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.38,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.349999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.32,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.29,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.259999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.23,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-21.2,2040-01-01 23:30:00,493.57144
2060-12-31 23:30:00,0,55.21,-21.169999999999998,2040-01-01 23:30:00,458.5238
2060-12-31 23:30:00,0,55.21,-21.14,2040-01-01 23:30:00,490.8095
2060-12-31 23:30:00,0,55.21,-21.11,2040-01-01 23:30:00,495.90475
2060-12-31 23:30:00,0,55.21,-21.08,2040-01-01 23:30:00,503.09525
2060-12-31 23:30:00,0,55.21,-21.049999999999997,2040-01-01 23:30:00,495.90475
2060-12-31 23:30:00,0,55.21,-21.02,2040-01-01 23:30:00,508.09525
2060-12-31 23:30:00,0,55.21,-20.99,2040-01-01 23:30:00,496.5238
2060-12-31 23:30:00,0,55.21,-20.959999999999997,2040-01-01 23:30:00,520.8571
2060-12-31 23:30:00,0,55.21,-20.93,2040-01-01 23:30:00,517.0952
2060-12-31 23:30:00,0,55.21,-20.9,2040-01-01 23:30:00,520.0952
2060-12-31 23:30:00,0,55.21,-20.869999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.84,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.81,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.779999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.75,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.72,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.689999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.21,-20.66,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.47,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.439999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.41,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.38,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.349999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.32,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.29,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-21.259999999999998,2040-01-01 23:30:00,676.1429
2060-12-31 23:30:00,0,55.24,-21.23,2040-01-01 23:30:00,565.6667
2060-12-31 23:30:00,0,55.24,-21.2,2040-01-01 23:30:00,535.8571
2060-12-31 23:30:00,0,55.24,-21.169999999999998,2040-01-01 23:30:00,576.4762
2060-12-31 23:30:00,0,55.24,-21.14,2040-01-01 23:30:00,561.5714
2060-12-31 23:30:00,0,55.24,-21.11,2040-01-01 23:30:00,453.85715
2060-12-31 23:30:00,0,55.24,-21.08,2040-01-01 23:30:00,555.7619
2060-12-31 23:30:00,0,55.24,-21.049999999999997,2040-01-01 23:30:00,451.0
2060-12-31 23:30:00,0,55.24,-21.02,2040-01-01 23:30:00,532.7619
2060-12-31 23:30:00,0,55.24,-20.99,2040-01-01 23:30:00,520.2857
2060-12-31 23:30:00,0,55.24,-20.959999999999997,2040-01-01 23:30:00,540.9524
2060-12-31 23:30:00,0,55.24,-20.93,2040-01-01 23:30:00,511.85715
2060-12-31 23:30:00,0,55.24,-20.9,2040-01-01 23:30:00,517.5238
2060-12-31 23:30:00,0,55.24,-20.869999999999997,2040-01-01 23:30:00,520.5238
2060-12-31 23:30:00,0,55.24,-20.84,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.81,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.779999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.75,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.72,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.689999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.24,-20.66,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.47,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.439999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.41,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.38,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.349999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.32,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.27,-21.29,2040-01-01 23:30:00,680.5714
2060-12-31 23:30:00,0,55.27,-21.259999999999998,2040-01-01 23:30:00,578.8571
2060-12-31 23:30:00,0,55.27,-21.23,2040-01-01 23:30:00,572.619
2060-12-31 23:30:00,0,55.27,-21.2,2040-01-01 23:30:00,587.4286
2060-12-31 23:30:00,0,55.27,-21.169999999999998,2040-01-01 23:30:00,560.9524
2060-12-31 23:30:00,0,55.27,-21.14,2040-01-01 23:30:00,670.6667
2060-12-31 23:30:00,0,55.27,-21.11,2040-01-01 23:30:00,618.2381
2060-12-31 23:30:00,0,55.27,-21.08,2040-01-01 23:30:00,666.1905
2060-12-31 23:30:00,0,55.27,-21.049999999999997,2040-01-01 23:30:00,640.7143
2060-12-31 23:30:00,0,55.27,-21.02,2040-01-01 23:30:00,542.4762
2060-12-31 23:30:00,0,55.27,-20.99,2040-01-01 23:30:00,595.9048
2060-12-31 23:30:00,0,55.27,-20.959999999999997,2040-01-01 23:30:00,540.2381
2060-12-31 23:30:00,0,55.27,-20.93,2040-01-01 23:30:00,533.9524
